isbn,likes,rating,title,user_id,user_name
0399562451,5,4,Still Me,27298436,Toni
0399562451,4,5,Still Me,7591182,Marisa
0399562451,4,4,Still Me,10464088,marlin1
0399562451,4,5,Still Me,8282214,Susan Rescigno
0399562451,4,5,Still Me,73524811,Santi Rdguez
0399562451,6,4,Still Me,15496989,Misty
0399562451,4,4,Still Me,45952189,Never Without a Book™
0399562451,4,2,Still Me,34474419,Jade SiL Carstairs
1616201347,941,5,An American Marriage,4622890,Emily May
1616201347,601,4,An American Marriage,30978160,Meredith
1616201347,504,2,An American Marriage,62695678,Ashley
1616201347,351,5,An American Marriage,42130592,شيماء ✨
1616201347,264,5,An American Marriage,5872506,Larry H
1616201347,242,5,An American Marriage,597461,Elyse Walters
1616201347,222,4,An American Marriage,5210022,Julie
1616201347,205,5,An American Marriage,36348070,Brandice
1616201347,181,3,An American Marriage,260116,JanB
1616201347,170,4,An American Marriage,4159922,Diane S ☔
1616201347,177,5,An American Marriage,8665845,Debbie
1616201347,166,4,An American Marriage,54886546,Lindsay - Traveling Sister
1616201347,158,1,An American Marriage,54776477,Ashley Gallegos
1616201347,144,4,An American Marriage,4685500,Angela M
1616201347,126,4,An American Marriage,17957823,Erin
1616201347,126,3,An American Marriage,58160628,Emily (Books with Emily Fox)
1616201347,125,5,An American Marriage,4146551,Kelli
1616201347,130,4,An American Marriage,9472704,Linda
1616201347,116,2,An American Marriage,4593541,Barry Pierce
1616201347,110,3,An American Marriage,4795204,Tia
1616201347,105,5,An American Marriage,106692,Cheri
1616201347,103,4,An American Marriage,2795921,Justin
1616201347,102,4,An American Marriage,4514828,Susanne Strong
1616201347,97,5,An American Marriage,4125660,Liz
1616201347,100,5,An American Marriage,12851291,Karen
1616201347,96,4,An American Marriage,5464046,PorshaJo
1616201347,92,5,An American Marriage,23082940,Justin Tate
1616201347,85,4,An American Marriage,1880531,Carol (Bookaria)
1616201347,81,1,An American Marriage,11183856,Kelly (and the Book Boar)
1616201347,81,4,An American Marriage,4271946,Jessica Woodbury
1616201347,88,5,An American Marriage,32799998,Erin
1616201347,85,3,An American Marriage,7668522,Carol
1616201347,79,4,An American Marriage,1277371,Marialyce
1616201347,76,5,An American Marriage,1381728,Maxwell
1616201347,74,4,An American Marriage,2120450,Julie Ehlers
1616201347,75,5,An American Marriage,3643764,Esil
1616201347,70,5,An American Marriage,4739465,Monica
1616201347,65,4,An American Marriage,53419883,Scarlett Readz and Runz....Through Novel Time & Distance
1616201347,63,4,An American Marriage,68030,Jenny (Reading Envy)
