,author,mean_rating,num_ratings,num_reviews,title,url
96,Josiah Bancroft,4.21,"9,487 ratings","1,559 reviews",Senlin Ascends,https://www.goodreads.com/book/show/35271523-senlin-ascends?from_choice=true
97,Brian McClellan,4.55,"4,519 ratings",329 reviews,Wrath of Empire,https://www.goodreads.com/book/show/28811018-wrath-of-empire?from_choice=true
98,Robert Jackson Bennett,4.29,"8,583 ratings","1,569 reviews",Foundryside,https://www.goodreads.com/book/show/37007781-foundryside?from_choice=true
99,Nicholas Eames,4.29,"5,177 ratings",855 reviews,Bloody Rose,https://www.goodreads.com/book/show/35052265-bloody-rose?from_choice=true
100,Angie Thomas,4.54,"307,519 ratings","43,506 reviews",The Hate U Give,https://www.goodreads.com/book/show/32075671-the-hate-u-give?from_choice=true
101,Anthony Doerr,4.33,"798,403 ratings","66,383 reviews",All the Light We Cannot See,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see?from_choice=true
102,Sarah J. Maas,4.68,"226,234 ratings","31,620 reviews",A Court of Mist and Fury,https://www.goodreads.com/book/show/26073150-a-court-of-mist-and-fury?from_choice=true
103,Kathryn Stockett,4.46,"1,874,160 ratings","81,826 reviews",The Help,https://www.goodreads.com/book/show/4667024-the-help?from_choice=true
104,Kristin Hannah,4.56,"508,107 ratings","51,843 reviews",The Nightingale,https://www.goodreads.com/book/show/21853621-the-nightingale?from_choice=true
105,Andy Weir,4.40,"681,979 ratings","68,222 reviews",The Martian,https://www.goodreads.com/book/show/18007564-the-martian?from_choice=true
106,Gillian Flynn,4.06,"1,965,928 ratings","127,597 reviews",Gone Girl,https://www.goodreads.com/book/show/12837725-gone-girl?from_choice=true
107,Neil Gaiman,4.00,"415,327 ratings","43,203 reviews",The Ocean at the End of the Lane,https://www.goodreads.com/book/show/15783514-the-ocean-at-the-end-of-the-lane?from_choice=true
108,Suzanne Collins,4.29,"2,193,652 ratings","91,826 reviews",Catching Fire,https://www.goodreads.com/book/show/6148028-catching-fire?from_choice=true
109,John Green,4.24,"3,026,206 ratings","149,343 reviews",The Fault in Our Stars,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars?from_choice=true
110,Stephen King,4.31,"365,150 ratings","34,456 reviews",11/22/63,https://www.goodreads.com/book/show/10644930-11-22-63?from_choice=true
111,Sarah J. Maas,4.58,"178,067 ratings","18,503 reviews",Queen of Shadows,https://www.goodreads.com/book/show/18006496-queen-of-shadows?from_choice=true
112,George R.R. Martin,4.32,"495,558 ratings","21,323 reviews",A Dance with Dragons,https://www.goodreads.com/book/show/13422727-a-dance-with-dragons?from_choice=true
113,Celeste Ng,4.12,"344,208 ratings","30,021 reviews",Little Fires Everywhere,https://www.goodreads.com/book/show/34273236-little-fires-everywhere?from_choice=true
114,Rainbow Rowell,4.09,"733,576 ratings","60,790 reviews",Eleanor & Park,https://www.goodreads.com/book/show/15745753-eleanor-park?from_choice=true
115,Colleen Hoover,4.40,"150,916 ratings","21,667 reviews",It Ends with Us,https://www.goodreads.com/book/show/27276318-it-ends-with-us?from_choice=true
116,Pierce Brown,4.27,"189,881 ratings","21,114 reviews",Red Rising,https://www.goodreads.com/book/show/15839976-red-rising?from_choice=true
117,Sarah J. Maas,4.50,"162,223 ratings","20,329 reviews",A Court of Wings and Ruin,https://www.goodreads.com/book/show/23766634-a-court-of-wings-and-ruin?from_choice=true
118,Lisa Wingate,4.36,"213,167 ratings","20,679 reviews",Before We Were Yours,https://www.goodreads.com/book/show/32148570-before-we-were-yours?from_choice=true
119,Jennifer Niven,4.18,"218,913 ratings","27,183 reviews",All the Bright Places,https://www.goodreads.com/book/show/18460392-all-the-bright-places?from_choice=true
120,Helen Hoang,3.92,"63,738 ratings","11,063 reviews",The Kiss Quotient,https://www.goodreads.com/book/show/36577586-the-kiss-quotient?from_choice=true
121,Colleen Hoover,4.29,"38,099 ratings","5,839 reviews",All Your Perfects,https://www.goodreads.com/book/show/37588357-all-your-perfects?from_choice=true
122,Jasmine Guillory,3.52,"34,014 ratings","5,359 reviews",The Wedding Date,https://www.goodreads.com/book/show/35259631-the-wedding-date?from_choice=true
123,J.R. Ward,4.27,"12,540 ratings","1,383 reviews",The Thief,https://www.goodreads.com/book/show/35819729-the-thief?from_choice=true
124,E.L. James,4.10,"27,536 ratings","2,291 reviews",Darker,https://www.goodreads.com/book/show/32024902-darker?from_choice=true
125,Laura Thalassa,4.04,"17,006 ratings","2,313 reviews",Pestilence,https://www.goodreads.com/book/show/37769929-pestilence?from_choice=true
126,Mariana Zapata,4.33,"20,725 ratings","2,476 reviews",From Lukov with Love,https://www.goodreads.com/book/show/38503484-from-lukov-with-love?from_choice=true
127,Christina Lauren,3.89,"21,272 ratings","3,142 reviews",Roomies,https://www.goodreads.com/book/show/34466910-roomies?from_choice=true
128,Kristen Ashley,4.16,"15,537 ratings","1,606 reviews",The Hookup,https://www.goodreads.com/book/show/36587905-the-hookup?from_choice=true
129,Lisa Kleypas,4.07,"11,190 ratings","1,491 reviews",Hello Stranger,https://www.goodreads.com/book/show/35271196-hello-stranger?from_choice=true
130,Penelope Douglas,4.15,"17,826 ratings","2,374 reviews",Birthday Girl,https://www.goodreads.com/book/show/39862558-birthday-girl?from_choice=true
131,Vi Keeland,4.23,"16,712 ratings","1,654 reviews","Sex, Not Love",https://www.goodreads.com/book/show/36593240-sex-not-love?from_choice=true
132,Alyssa Cole,3.84,"5,780 ratings","1,388 reviews",A Princess in Theory,https://www.goodreads.com/book/show/35271238-a-princess-in-theory?from_choice=true
133,Ella Frank,4.40,"4,144 ratings",723 reviews,Robbie,https://www.goodreads.com/book/show/39086215-robbie?from_choice=true
134,Sarah MacLean,4.02,"6,392 ratings","1,013 reviews",Wicked and the Wallflower,https://www.goodreads.com/book/show/36301036-wicked-and-the-wallflower?from_choice=true
135,Christina Lauren,4.12,"21,077 ratings","3,962 reviews",Josh and Hazel's Guide to Not Dating,https://www.goodreads.com/book/show/40189670-josh-and-hazel-s-guide-to-not-dating?from_choice=true
136,Penny Reid,4.15,"7,853 ratings","1,010 reviews",Dr. Strange Beard,https://www.goodreads.com/book/show/36395874-dr-strange-beard?from_choice=true
137,K.A. Tucker,4.47,"10,676 ratings","1,946 reviews",The Simple Wild,https://www.goodreads.com/book/show/36373564-the-simple-wild?from_choice=true
138,Penny Reid,4.16,"9,220 ratings","1,148 reviews",Marriage of Inconvenience,https://www.goodreads.com/book/show/36395764-marriage-of-inconvenience?from_choice=true
139,Krista Ritchie,4.36,"3,161 ratings",466 reviews,Alphas Like Us,https://www.goodreads.com/book/show/39655232-alphas-like-us?from_choice=true
140,V.E. Schwab,4.29,"17,201 ratings","3,269 reviews",Vengeful,https://www.goodreads.com/book/show/37534835-vengeful?from_choice=true
141,Pierce Brown,4.23,"29,469 ratings","2,932 reviews",Iron Gold,https://www.goodreads.com/book/show/33257757-iron-gold?from_choice=true
142,Christina Dalcher,3.60,"25,831 ratings","5,303 reviews",Vox,https://www.goodreads.com/book/show/37796866-vox?from_choice=true
143,Sylvain Neuvel,3.66,"14,060 ratings","2,084 reviews",Only Human,https://www.goodreads.com/book/show/35820656-only-human?from_choice=true
